name,category,tags,desc
Manhattan Noise Complaints 2010 Test,Other,"311, 311 service requests, 2010, 2011, ...",Test data from all 311 Service Requests for 2010 in Manhattan to October 2010.
Parks Inspections data,Facilities and Structures,"accountability, transparency, safety, quality","The Parks Inspection Program (PIP) is a comprehensive, outcome-based performance measurement system that generates frequent, random, and detailed inspections of our parks and playgrounds. A team of inspectors conducts nearly 5,000 inspections per year. Each site receives a rating of ""Acceptable"" or ""Unacceptable"" based upon the condition of specific park features."
Political & Election Districts GIS: City Council Districts,Government,"geographic, voting, location, map, cartography, ...",GIS data: Boundaries of City Council Districts
Mapped View of HHC Facilities,Health,"facility, facilities, health, patient, healthcare, ...","This is a list of the 11 acute care hospitals, four skilled nursing facilities, six large diagnostic and treatment centers and community-based clinics that make up the New York City Health and Hospitals Corporation, NYC's public hospital system. HHC is a $6.7 billion integrated healthcare delivery system which serves 1.3 million New Yorkers every year and more than 450,000 are uninsured. It provides medical, mental health and substance abuse services.
Update Frequency: As needed"
Coastal Boundaries,Environmental Sustainability,"water, zoning, development, shore, coast","The Coastal Zone Boundary defines the geographic scope of New York City's Waterfront Revitalization Program (WRP). Pursuant to federal statute, the boundary encompasses all land and water of direct and significant impact on coastal waters. Federal lands and facilities are excluded from the coastal zone and consistency review in accordance with federal legislation. However, should the federal government dispose of any coastal property, it would be included in the coastal zone."
Local Law 48 Of 2011 Report,Government,"local law 48, local law, 2011, dcas, ...",Detailed report in regards to Local Law 48 of 2011
Parks And Recreation Temporary Public Art Facilities,Cultural Affairs,"public art, cultural institution, culture, parks, ...",""
2009 birth names (Female Black Non Hispanic),Health,"health, popular, names, black, african-american, ...",Popular NYC birth names sorted by sex and ethnicity
farmersmarket,Events,"block parties, street festivals, events","A list of Street Activity Permit Applications. These include applications for Block Parties and Street Festivals. The City of New York makes no representation as to its accuracy or the suitability of this information for any purpose. Because this information is subject to change, the City will periodically update and modify it to the extent it is reasonable and practical. Users should be advised that much of this information is based on permit applications, not approved permits especially when looking at permits for advanced dates.

The City disclaims any liability for errors that may be contained herein and shall not be responsible for any damages consequential or actual, arising out of or in connection with the use of this information. The City makes no warranties, express or implied, including, but not limited to, implied warranties of merchantability and fitness for a particular purpose as to the quality, content, accuracy, or completeness of the information, text graphics, links and other items contained in this dataset."
School Progress Reports - All Schools - 2010-11,Education,"","2010/11 Progress Report results for all schools (As of 9/23/2011)

Peer indexes are calculated differently depending on School Level.  Schools are only compared to other schools in the same School Level (e.g., Elementary, K-8, Middle, High, Transfer)

1) Elementary, K-8, Early Childhood - peer index is a value from 0-100.  A composite demographic statistic based on % ELL, % Students with Disabilities, % Title I free lunch, and % Black/Hispanic is used.  Higher values indicate student populations with higher need.

2) Middle - peer index is a value from 1.00-4.50.  For middle schools, the average 4th grade proficiency ratings in ELA and Math and the % Students with Disabilities is used. Lower values indicate student populations with higher need.

3) High School - peer index is a value from 1.00-4.50. For high schools, the average 8th grade proficiency, the % Students with Disabilities, the % Self-contained, and the % overage is used. Lower values indicate student populations with higher need."
Directory of Concessions,Facilities and Structures,"business, license","Approximately 500 concessions currently operate in parks. They generally fall into two categories: food service and recreation. The food service concessions range from pushcarts selling hot dogs and pretzels to full restaurants. Recreational concessions include ice rinks, indoor tennis bubbles, stables, marinas, and much more."
DEP: CPR Data from July 2001 through June 2011,Environmental Sustainability,"environment & conservation, statistics, ...","Citywide Performance Reporting System (CPR) statistics pertaining to Department of Environmental Protection (DEP)  operations from July  2001 through June 2011.
Update Frequency: Annually"
2010-2011 Class Size - Borough Distribution,Education,"","This file shows the range and distribution of class sizes within a particular grade and program type. For grades 5-9 (where available) and 9-12, the data are shown by program type and core subject.

Class size data is based on January 28, 2011 data.
* Grade 9 Official Class data is included for 0K-09 schools. Core Course information for these sections is not reported."
Pavement Edge Lines,Transportation,"geographic, location, map, cartography, parking, ...",Planimetric basemap line layer containing the pavement edge features. (curbline)
Medallion Drivers,"","transportation, taxi, limousine, medallion, drive, ...",Lists all TLC medallion drivers
Map of Handball Courts,Facilities and Structures,"park, parks, nature, recreation, location, map, ...","GIS Map of Handball Courts in New York City Department of Parks & Recreation properties.

Update Frequency: Quarterly"
Denied registrants in the wholesale markets,Business and Economic,"wholesale, vendor, market, registration, denied",Denied registrants in the wholesale markets
Parking Lot Features,Transportation,"geographic, location, map, cartography, parking, ...",Planimetric basemap polygon layer containing parking lot features.
Reasons For Police- Civilian Encounters That Led To A Complaint 2005 - 2009,Public Safety,"complaint, civilian, review, board, activity, ccrb, ...",CCRB: Reasons for Police-Civilian Encounters that Led to a Complaint 2005 - 2009
Graduation Outcomes - Classes of 2005-2010 - Citywide,Education,"","Graduation Outcomes - Cohorts of 2001 through 2006 (Classes of 2005 through 2010)

The New York State calculation method was first adopted for the Cohort of 2001 (Class of 2005).  The cohort consists of all students who first entered 9th grade in a given school year (e.g., the Cohort of 2006 entered 9th grade in the 2006-2007 school year).  Graduates are defined as those students earning either a Local or Regents diploma and exclude those earning either a special education (IEP) diploma or GED.  For the most recent cohort, graduation rates as of both June and August (including summer graduates) are reported.   

Records with cohorts of 20 students or less are suppressed.
August outcomes are only reported for the most recent cohort. August outcomes include all June and August graduates.
In school-level reporting, students who were in a school for less than 5 months are not included in the school’s cohort, but are included in citywide totals.
School level results are not presented for District 79 schools, but their outcomes are included in citywide totals."
School Progress Reports - All Schools - 2008-09,Education,"","2008/09 Progress Report results for all schools (data as of 3/23/2010)

Peer indices are calculated differently depending on School Level.  Schools are only compared to other schools in the same School Level (e.g., Elementary, K-8, Middle, High, Transfer)

1) Elementary & K-8 - peer index is a value from 0-100.  We use a composite demographic statistic based on % ELL, % SpEd, % Title I free lunch, and % Black/Hispanic.  Higher values indicate student populations with higher need.

2) Middle & High - peer index is a value from 1.00-4.50.  For middle schools, we use the average 4th grade proficiency ratings in ELA and Math for all their students that have 4th grade test scores.  For high schools, we use the average 8th grade proficiency ratings in ELA and Math for all their students that have 8th grade test scores, % SpEd, and % Overage.  Lower values indicate student populations with higher need."
Group Ride Vehicle Pilot Program - Drivers,Transportation,"","The New York City Taxi and Limousine Commission (TLC) has approved a new Group Ride Vehicle pilot program to provide an alternative transportation option for New Yorkers in neighborhoods with reduced or eliminated bus service. This new service will allow point to point, shared-rides among specified pick-up and drop-off locations. This pilot program will run for one year.  All licenses issued under this pilot will expire one-year from date of issuance.  This lists the license number, name, and license expiration date of approved drivers."
Inclusionary Housing Designated Areas,Construction and Housing,"",A specified area in which the Inclusionary Housing Program is applicable. The program modifies the floor area ratio (FAR) and offers a bonus for developments that provide affordable housing.
Green Project Checklist,Environmental Sustainability,"green, environment, sca, school, construction, ...","The School Construction Authority's rating system for environmentally friendly buildings.

Update Schedule: As required"
TLC Vehicle Insurance,Transportation,"transportation, insure, insurance, vehicle, car, ...",Spreadsheet of all TLC vehicle insurance
DOF: Condominium Comparable Rental Income – Manhattan – FY 2011/2012,Finances,"department of finance, finance, dof, ...","Condominiums and cooperatives are valued as if they were residential rental apartments. Income information from similar rental properties is applied to determine value.
The Department of Finance (DOF) chooses similar properties to value condos and coops. Properties are selected based on a combination of factors such as: land location, income levels, building age and construction and exemptions and subsidies."
CCRB: Attribution of Complaints to the Housing Bureau 2005 - 2009,Public Safety,"complaint, civilian, review, board, activity, ccrb, ...","Civilian Complaint Review Board (CCRB) complaint activity data, 2005-2009.
Update Schedule: Annually"
Special Waste Drop-off Sites,Environmental Sustainability,"sanitation, services, waste, drop off, drop-off, ...","Addresses and coordinates of each of 5 special waste drop-off sites where New York City residents can dispose of automotive batteries, motor oil, oil filters, passenger car tires, transmission fluids, fluorescent light bulbs, thermostats, household batteries, and latex paint."
Political & Election Districts GIS: State Assembly Districts,Government,"geographic, voting, location, map, cartography, ...",GIS data: Boundaries of State Assembly Districts
Lower Density Growth Management Areas,Construction and Housing,"zoning, development, sustainability, environment","A Lower Density Growth Management Area is an area designated in the Zoning Resolution where new developments must provide more off-street parking, larger yards and more open space than would otherwise be required in the applicable zoning districts In Staten Island and Bronx Community District 10."
Business Improvement Districts (BID) Organization List,Business and Economic,"","Small Business Services (SBS) oversees and supports New York City's network of 64 Business Improvement Districts (BIDS) - the most comprehensive system of its kind in the country. BIDs are locally based organizations that keep their commercial districts clean and safe, market those districts to consumers, visitors and new businesses, and invest in capital improvements to open opportunities for other economic development initiatives to succeed."
Universal Pre-K Locations,Education,"geographic, location, map, children, cartography, ...",Location of all Universal-Pre-K in the city with basic descriptive information.
Community Health Survey (SAS data),Health,"","The New York City Community Health Survey (CHS) is an annual telephone survey conducted by the Health Department that provides robust data on the health of New Yorkers, including neighborhood, borough and citywide estimates on a broad range of health behaviors, health care access indicator and chronic health conditions.  A SAS dataset (along with a codebook and a SAS program to access and analyze the data) have been provided.  Correct analysis of CHS data requires computer software able to adjust for the survey’s complex design, such as SAS-callable SUDAAN (sample code provided) or survey modules in SAS, STATA or SPSS."
NYS Math Test Results by Grade 2006-2011 - Citywide - by Race-Ethnicity,Education,"","New York City Results on the New York State Mathematics Tests, Grades 3 - 8
Notes:
As of 2006, the New York State Education Department expanded the ELA and mathematics testing programs to Grades 3-8. Previously, state tests were administered in Grades 4 and 8 and citywide tests were administered in Grades 3, 5, 6, and 7.
In 2006, NYSED treated District 75 students as a distinct geographic district. For 2007-2011, District 75 students are represented in their home districts and boroughs. Spreadsheets for District and Borough do not include District 75 students in 2006.
Starting in 2010, NYSED changed the scale score required to meet each of the proficiency levels, increasing the number of questions students needed to answer correctly to meet proficiency."
Primary Commercial Zoning by lot,Business and Economic,"zoning, property, business geographic, location, ...",Primary Zoning by lot Based on PLUTO 2005
56,Facilities and Structures,"geographic, location, map, cartography, property, ...","Polygon representing the perimeter outline of the buildings.

Update Frequency: As Needed"
Approved licensees and registrants for trade waste,Business and Economic,"wholesale, vendor, license, registration, ...",Approved licensees and registrants for trade waste
Bar Chart,Environmental Sustainability,"electricity, energy, environment, planning, power, ...","2010 electricity consumption in kWh and GJ, by ZIP code, building type, and utility company."
Business Improvement District Boundaries,Business and Economic,"geographic, location, map, cartography, property, ...",Polygon representing the boundary of the Business Improvement Districts.
Birth Rate By Mother's Ancestry (2007),Health,"birth rate, ancestry, 2007, labor, mother","Rate of birth's according to the mother's ancestry.

Update schedule: As required"
Google Map - 311 NYPD Traffic Complaints - 2010-Present,Other,"311, 311 service requests, 2010, 2011, ...",All 311 Service Request from 2010 to Present. Starting in November 2011 the data will be updated on a daily basis.
Approved registrants in the wholesale markets,Business and Economic,"wholesale, vendor, market, registration, approved",Approved registrants in the wholesale markets
Production office space,Media,"property, business, media, production, record, ...","List of Commercial space for recording and sound production in New York City. This is a list of studios which have requested to be included, rather than a comprehensive list of NYC facilities."
Black Car Services - Vehicles,Transportation,"","Black Car bases provide pre-arranged transportation to clients, usually based on contracts. This lists the current status of Black Car Vehicle Licenses, including license number, name(s) of licensee, affiliated base license, DMV license plate and VIN numbers, expiration date, model year, and whether the vehicle is a hybrid or stretch limousine."
Directory of Running Tracks,Facilities and Structures,"recreation, sports",Running tracks in New York City Department of Parks & Recreation properties.
Disposition Of Offensive Language Allegations 2008,Public Safety,"complaint, civilian, review, board, activity, ccrb, ...",CCRB: Disposition of Offensive Language Allegations 2008
Map of Beaches,Facilities and Structures,"park, parks, nature, recreation, location, map, ...","GIS Map of Beaches on New York City Department of Parks & Recreation properties.

Update Frequency: Quarterly"
Special Traffic Updates,Transportation,"transportation, special traffic update, update, ...",RSS Feed displaying special traffic updates
2006-07 Class Size - By District,Education,"","Citywide Class Size Report, including District, Program, Grade or Service Category.

SOURCES: 10/31/06 Official Register (K-9) and 12/15/06 Register/Schedule (9-12)
#Grade 9 not in high schools
##Indicates how special class is delivered

For schools with students in any grades between Kindergarten and 9th grade (where 9th grade is the termination grade for the school), class size is reported by four program areas: general education, special education self-contained class, collaborative team teaching and gifted and talented self-contained class. Within each program area class size is reported by grade or service category, which indicates how a special education self-contained class is delivered. Class size is calculated by dividing the number of students in a program and grade by the number of official classes in that program and grade. 

The following data is excluded from all the reports: District 75 schools, bridge classes which span more than one grade, classes with fewer than five students (for other than special education self-contained classes) and classes with one student (for special education self-contained classes). On the summary reports programs and grades with three or fewer classes are excluded from the citywide, borough and region reports and programs and grades with one class are excluded from the district report. For schools with students in any grades between 9th and 12th grade (where 9th grade is not the termination grade for the school), class size is reported by two program areas: general education and special education. For general education students class size is reported by grade for each core subject area: English, Math, Science and Social Studies. For special education students with a self-contained program recommendation, class size is reported by service category (self-contained or mainstream) for each core subject area. Since high school classes may contain students in multiple grades and programs, class size is calculated by taking a weighted average of all the classes in a core subject area with students in a particular grade or program. For example, there are 75 ninth graders enrolled at a high school. 25 ninth graders attend a Math class with 28 students, a second group of 25 ninth graders attend a Math class with 25 students, and a third group of 25 ninth graders attend a Math class with 30 students. Average class size for ninth grade Math equals: (25x28 + 25x25 + 25x30)/75 = 27.7. 

The Pupil Teacher Ratio is also provided on the school level report. Pupil Teacher Ratio is another means to evaluate the instructional resources provided at a school. Pupil Teacher Ratio for All Students is calculated by dividing the number of students at a school by the number of full-time equivalent teachers, including both teachers in classes taught by two teachers, “cluster” teachers providing instruction in specialized topics like art or science, and teachers providing special education instruction. Pupil Teacher Ratio Excluding Special Education is calculated by dividing the number of non-special education students at a school by the number of full-time equivalent non-special education teachers."
Empire Zones,Other,"geographic, location, map, cartography, basemap, ...",Empire Zones
NYS Math Test Results By Grade 2006-2011 - School Level - By Race- Ethnicity,Education,"","New York City Results on the New York State Mathematics Tests, Grades 3 - 8
Notes:
As of 2006, the New York State Education Department expanded the ELA and mathematics testing programs to Grades 3-8. Previously, state tests were administered in Grades 4 and 8 and citywide tests were administered in Grades 3, 5, 6, and 7.
In 2006, NYSED treated District 75 students as a distinct geographic district. For 2007-2011, District 75 students are represented in their home districts and boroughs. Spreadsheets for District and Borough do not include District 75 students in 2006.
Starting in 2010, NYSED changed the scale score required to meet each of the proficiency levels, increasing the number of questions students needed to answer correctly to meet proficiency.

Rows are suppressed (noted with ‘s’) if the number of tested students was 5 or fewer. 
Prior to 2011, the mean scale scores for ‘All Grades’ were not calculated."
Where Civilian Complaints Were Reported 2005 - 2009,Social Services,"complaint, civilian, review, board, activity, ccrb, ...",CCRB: Where Civilian Complaints Were Reported 2005 - 2009
DOF Statement of account (Brooklyn),Property,"department of finance, finance, dof, brooklyn, ...","Name of responsible party, and charges against a property for the period of issuance"
2009 birth names (Male and Asian Pacific Islander),Health,"health, names, popular, data, asian, pacific, ...",Popular NYC birth names sorted by name and ethnicity
123,Environmental Sustainability,"electricity, energy, environment, planning, power, ...","2010 electricity consumption in kWh and GJ, by ZIP code, building type, and utility company."
Political & Election Districts GIS: Congressional Districts,Government,"geographic, voting, location, map, cartography, ...",GIS data: Boundaries of Congressional Districts
Nursing Homes,Health,"map, location, cartography, oem, nurse, nursing, ...",This data set shows the location of nursing homes in New York City. This nursing home information was taken from the New York State Department of Health web site: http://nursinghomes.nyhealth.gov/
Projected Population 2000-2030 - Total By Age Groups,Statistics,"","Projected total New York City population for five intervals from 2000 through 2030 by Borough, broken down by 18 age cohorts. (Age groups may not add up to the total due to rounding.)"
Directory of Dog Runs  and Off-Leash Areas,Facilities and Structures,"",Dog runs in New York City Department of Parks & Recreation properties and properties with off-leash hours for dogs.
New York City Health and Hospitals Corporation (HHC): HHC Options (common fees),Health,"health, patient, healthcare, healthcare provider, ...","Through HHC Options, low and moderate-income HHC patients can get affordable healthcare.  Based on the Level determined by family size and income, this table shows some of the most common fees paid for healthcare services through HHC options.
Update Frequency: As needed"
Race Of Alleged Victims Compared To New York City Demographics 2005 - 2009,Public Safety,"complaint, civilian, review, board, activity, ccrb, ...",CCRB: Race of Alleged Victims Compared to New York City Demographics 2005 - 2009
Latin Cultural Organizations,Cultural Affairs,"culture, entertainment, media, latin, cultural, ...",Listing of Latin cultural organizations
DYCD after-school-programs: Housing,Community Service,"community, development, community development, ...","Facilities in New York City, by agency and site, that offer Family Support after-school “Housing Assistance and Advocacy Programs” for adults and young adults ages 18 and up - Department of Youth and Community Development (DYCD).
Update Frequency: Annually"
Senior Center Locations,Community Service,"geographic, location, map, senior, senior center, ...",Location of senior centers in the city with basic descriptive information.
Directory of Ice Skating Rinks,Facilities and Structures,"",Ice skating rinks in New York City Department of Parks & Recreation properties.
Yellow Medallion Taxicabs - Metershops,Transportation,"business, taxi, vehicle, transportation, license","Yellow Medallion Taxicabs are the official taxis of New York City. There are currently about 13,000 licensed taxicabs and they provide transportation for passengers via street hails.

This lists licensed Medallion Taxi Meter Shops, including their license numbers, names, addresses, and phone numbers."
Shoreline Features,Environmental Sustainability,"geographic, location, map, cartography, shore, ...",Planimetric basemap line layer containing shoreline features.
Airport Polygon (City Airport Runways),Transportation,"geographic, location, map, cartography, ...","Polygon representing the runways in the city airports.

Update Frequency: As Needed"
Recording Studios,"","music, recording, studio, film, voice, voiceover, ...",List of local recording studios
Grand Street BID Business Directory,Business and Economic,"business, restaurant, shopping, art","Business Directory for the Grand Street (East Williamsburg) Business Improvement District (BID).  
A BID delivers supplemental services, public safety, visitor services, marketing and promotional programs, capital improvements and beautification to a designated area."
FRESH,Business and Economic,"geographic, location, map, cartography, zone, ...",GIS Feature Class depicting the FRESH boundaries where zoning incentives apply to promote the development and expansion of full line grocery stores and supermarkets.
NYS Math Test Results By Grade 2006-2011 - District - By Race- Ethnicity,Education,"","New York City Results on the New York State Mathematics Tests, Grades 3 - 8
Notes:
As of 2006, the New York State Education Department expanded the ELA and mathematics testing programs to Grades 3-8. Previously, state tests were administered in Grades 4 and 8 and citywide tests were administered in Grades 3, 5, 6, and 7.
In 2006, NYSED treated District 75 students as a distinct geographic district. For 2007-2011, District 75 students are represented in their home districts and boroughs. Spreadsheets for District and Borough do not include District 75 students in 2006.
Starting in 2010, NYSED changed the scale score required to meet each of the proficiency levels, increasing the number of questions students needed to answer correctly to meet proficiency.

Rows are suppressed (noted with ‘s’) if the number of tested students was 5 or fewer."
Directory of Cricket Fields,Facilities and Structures,"recreation, sports",Directory of Cricket Fields in NYC Parks.
Street Tree Census (Bronx),Environmental Sustainability,"park, parks, nature, recreation, tree, census, ...",Bronx street tree census inventory
Yellow Medallion Taxicabs - Agents,Transportation,"business, taxi, vehicle, transportation, license","Yellow Medallion Taxicabs are the official taxis of New York City. There are currently about 13,000 licensed taxicabs and they provide transportation for passengers via street hails.

This list includes Medallion Agent Licensee names, license numbers, addresses, and phone numbers."
2009 birth names (Male White Non Hispanic),Health,"health, names, non hispanic, male, poular, dohmh",Popular NYC birth names sorted by sex and ethnicity)
Selected Facilities and Program Sites: Text,Property,"service, services, property, facility, facilities, ...","Data providing the location, type, and capacity of public and private community facilities in NYC including schools, parks, libraries, public safety, day care, foster care, special needs housing, health and mental health facilities  and programs."
Directory of Nature Centers,Facilities and Structures,"recreation, sports, outdoor, education",Nature Centers in New York City Department of Parks & Recreation properties.
Queens Library Branches,Library,"library, services, queens, qpl, hours, schedule",Queens Public Library Hours and Locations
Village Alliance Merchants,Business and Economic,"merchants, business, businesses, directory, ...","A business directory of Village Alliance Merchants.
Update Frequency: As needed"
New Jersey transit,Transportation,"geographic, location, map, cartography, ...",Line feature representing New Jersey Transit.
DYCD after-school programs: Immigrant Services,Community Service,"community, development, community development, ...","Facilities in New York City, by agency and site, that offer after-school programs for immigration services and immigrant support services. These include programs for legal assistance, legal services, refugee assistance, immigrant youth services, immigrant family services, and domestic violence programs.- Department of Youth and Community Development (DYCD). 
Update Frequency: Annually"
Political & Election Districts GIS: State Senate Districts,Government,"geographic, voting, location, map, cartography, ...",GIS data: Boundaries of State Senate Districts
Downtown Brooklyn Partnership (DBP)/ Court-Livingston-Schermerhorn (CLS)  Retail Locations,Business and Economic,"downtown, brooklyn, partnership, retail, retailer, ...",List of retail location in the DBP/CLS district
elec new,Environmental Sustainability,"electricity, energy, environment, planning, power, ...","2010 electricity consumption in kWh and GJ, by ZIP code, building type, and utility company."
List of capital projects,Facilities and Structures,"",Capital projects in New York City Department of Parks & Recreation properties.
Grand Central Partnership (GCP) Business Directory,Business and Economic,"grand central partnership, business, directory, ...",Businesses in the GCP district
arcGIS,Facilities and Structures,"school, construction, authority, sca, capital, ...",New school projects (Capacity) and Capital Improvement Projects (CIP) currently under Construction.
Graduation Outcomes - Class Of 2010 - Regents-based Math- ELA APM - School Level,Education,"","Graduation Outcomes - Class of 2010 - Math/ELA Aspirational Performance Measure (APM) 
¶•The New York State Education Department adopted Aspirational Performance Measures (APM) in addition to high school graduation rates for the Cohort of 2006 (Class of 2010). In addition to the numbers of students earning Advanced Regents Designation on their diplomas, another metric was developed based on performance on Math and ELA Regents exams. The Math/ELA APM represents the percentage of students in the cohort who graduated with any regular diploma (Regents Diploma with Advanced Designation, Regents Diploma, or Local Diploma) and who scored 80 or greater on their highest mathematics Regents and 75 or greater on the English Regents. Since this metric is new for the Class of 2010, only one year of results is reported, separately for June and August graduation cohorts. The total number of students in the cohort is the same in June and August. 
¶•Records with cohorts of 20 students or less are suppressed. 
¶•August outcomes include all June and August graduates. 
¶•In school-level reporting, students who were in a school for less than 5 months are not included in the school’s cohort, but are included in citywide totals. 
¶•School level results are not presented for District 79 schools, but their outcomes are included in citywide totals. 
¶•Schools that had previously obtained a waiver to use alternative assessments (rather than Regents examinations) were omitted from the Math/ELA APM calculations."
Directory Historical Signs,Facilities and Structures,"","Text of signs installed throughout New York City Department of Parks & Recreation properties that explains whom the park is named after and why, as well as the history of the site."
School Progress Reports - All Schools - 2011 Multiyear Summary,Education,"","2006-07 to 2009-10 Progress Report results summary for all schools

Summary Progress Report grades for school years 2006-2007 through 2009-2011."
Latin Media Organizations,Media,"culture, entertainment, media, latin, cultural, ...",Listing of Latin media organizations
NYC School Survey - 2009,Education,"","Every year, all parents, all teachers, and students in grades 6 - 12 take the NYC School Survey. The survey ranks among the largest surveys of any kind ever conducted nationally. 

Survey results provide insight into a school's learning environment and contribute a measure of diversification that goes beyond test scores on the Progress Report. NYC School Survey results contribute 10% - 15% of a school's Progress Report grade (the exact contribution to the Progress Report is dependent on school type). Survey questions assess the community's opinions on academic expectations, communication, engagement, and safety and respect. School leaders can use survey results to better understand their own school's strengths and target areas for improvement. 

The NYC School Survey helps school leaders understand what key members of the school community say about the learning environment at each school. The information captured by the survey is designed to support a dialogue among all members of the school community about how to make the school a better place to learn. The NYC School Survey has been taken annually since its inception in 2007."
NYC Truck Routes (Local and Thru maps),"","truck, transport, transit, route, local, through, ...","""The New York City Truck Routes represents Local and Through Truck Routes in New York City, created by the New York City Department of Transportation. They feature the City's comprehensive Truck Route Network overlaid on top of the entire arterial street network making it easier for drivers to locate specific streets and intersections, thus providing the best way for trucks to travel around the City.
These maps also contain helpful information for drivers, on truck route signage, weight limits and dimensions, overweight/over dimensional permitting and truck related violations as well as City, regional and state truck-related resources."""
"M/WBE, LBE, and EBE Certified Business List",Business and Economic,"","The City’s certification programs, including the Minority and Women-owned Business Enterprise (M/WBE) Program, the Emerging Business Enterprise (EBE) Program and the Locally-based Business Enterprise (LBE) Program certify, promote, and foster the growth of the City’s minority and women-owned businesses and eligible small construction and construction-related businesses.  Companies that become certified obtain greater access to and information about contracting opportunities, receive technical assistance to better compete for those opportunities, and benefit from inclusion in the City’s Online Directory of Certified Firms.

This list contains detailed information on certified companies, including a brief description of their work history, contact information, and detailed information about what the companies sell."
Botanical Gardens,Environmental Sustainability,"geographic, location, map, cartography, basemap, ...",Botanical Gardens
LPC Landmark Interiors,Facilities and Structures,"geographic, location, map, cartography, basemap, ...",Landmark Interiors
Top 10 Male Names Donut Chart 2009,Health,"popular names, name, health, males, boys",Popular NYC male birth names
OACE (Office of Adult and Continuing Education) Sites,Community Service,"location, map, cartography, basemap, oace, adult, ...",Adult and Continuing Education Sites
Completed Percent for Art projects with artist information,Cultural Affairs,"cultural, culture, program, fund, funding, project, ...",This data set contains the current listing of Department of Cultural Affairs completed Percent for Art projects.
2001 Campaign Contributions,Government,"finance, campaign finance board, cfb, nyccfb, ...",A listing of contributions for candidates for City office in 2001
Weekend Traffic Updates,Transportation,"transportation, traffic, update, travel, weekend",RSS Feed displaying weekend traffic updates
Financial Empowerment Centers,Business and Economic,"empowerment, finance, financial empowerment, ...","This is a list of the Department of Consumer Affairs' Financial Empowerment Centers. It includes the name, address, phone number and hours of the center."
CCRB: Attribution of Complaints to the Organized Crime Control Bureau 2005 – 2009,Public Safety,"complaint, civilian, review, board, activity, ccrb, ...","Civilian Complaint Review Board (CCRB) complaint activity data, 2005-2009.
Update Schedule: Annually"
Map of Golf Courses,Facilities and Structures,"park, parks, nature, recreation, location, map, ...","GIS Map of Golf Courses in New York City Department of Parks & Recreation properties.

Update Frequency: Quarterly"
311 Placard Complaints - 2010-Present,Other,"311, 311 service requests, 2010, 2011, ...",All 311 Service Request from 2010 to Present. Starting in November 2011 the data will be updated on a daily basis.
Hydrostats,Environmental Sustainability,"department of environmental protection, dep, ...",Reservoir areas and stream lengths
NYC Department of Design and Construction (DDC): Open Requests for Proposals,Business and Economic,"requests for proposal, rfp, contractors, ...","Purpose: Now,  consultants can subscribe to this feed and be informed about the new postings.
Target audience: Consultants.
Update Frequency: As needed."
New York Public Library (NYPL) Branch Services from 7-2010 to 6-2011,Library,"libraries, culture, community, recreation, ...","New York Public Library (NYPL) branch services from July 2010 to June 2011, by borough, network, program, attendance, and more."
DYCD YAIP (Young Adult Internship Programs),Community Service,"geographic, location, map, cartography, basemap, ...",Young Adult Internship Programs
Community Health Survey (GIS data) 2005_2008,Health,"health, safety, geographic, map, cartography, ...","Provides Community Health Survey aggregated city-wide rates by United Hospital Fund neighborhoods and two Boundaries files. These are GIS data The rates cover a number of health topics including: general health status, health care access, cardiovascular health, diabetes, asthma, immunizations, mental health, smoking, second-hand smoke, obesity, commuting patterns, physical activity, cancer screening, HIV, sexual behavior, birth control, drug use, and domestic violence."
FDNY Community Board Incident Count,Public Safety,"fire department, fdny, fd, fires, community board, ...","Provides incident counts by Year, Month, Incident classification, borough and community board."
2009 birth names (Male Black Non Hispanic),Health,"health, popular, names, dohmh, black, ...",Popular NYC birth names sorted by sex and ethnicity
Average Daily Inmate Population,Statistics,"corrections, jail, prison, inmate, facility, ...","Average daily inmate population by fiscal year

Note: The data for each of these indicators is based upon year of report, not year of occurrence."
Primary Residential Zoning by lot,Property,"zoning, property, business, geographic, location, ...",Primary Zoning by lot Based on PLUTO 2005
e,Environmental Sustainability,"electricity, energy, environment, planning, power, ...","2010 electricity consumption in kWh and GJ, by ZIP code, building type, and utility company."
Lincoln Square BID Business List,Business and Economic,"lincoln square bid, lincoln square, bid, ...",List of all of the businesses in the Lincoln Square area
Empower Zones,Community Service,"geographic, location, map, cartography, basemap, ...",Empower Zones
TLC Black Car Bases,Transportation,"transportation, taxi, limousine, black car, car, ...",Spreadsheet of all TLC black car bases
Map of Tennis Courts,Facilities and Structures,"park, parks, nature, recreation, location, map, ...",GIS Map of Tennis Courts in New York City Department of Parks & Recreation properties.
BPL Events Calendar,Events,"","A list of cultural and educational events held at Brooklyn Public Library.
Update Schedule: As Required"
NYC City Hall Library Publications,Library,"library, catalog, catalogue, report, study, ...","""Official publications submitted by city agencies in electronic format to the City Hall Library, also available at http://nyc.gov/html/records/html/govpub/home.shtml
"""
USP business map,Business and Economic,"union square partnership, usp, business, directory, ...",Directory of businesses in the Union Square area
"Hydrography Structures (Piers, Seawalls)",Environmental Sustainability,"geographic, location, map, cartography, ...","Planimetric basemap polygon layer containing hydro structures, such as Piers, and Seawalls."
CategoriesVB,Other,"data sets, list, data",This is the current list of all the datasets available on NYC Open Data
Map of Tracks,Facilities and Structures,"park, parks, nature, recreation, running, run, ...",GIS Map of Tracks in New York City Department of Parks & Recreation properties.
